Difficulty Level,Trial,Mining Time (s)
000000,1,2.0964596271514893
000000,2,42.30533695220947
000000,3,7.80082106590271
000000,4,127.59907913208008
000000,5,75.14945864677429
000000,6,98.75104689598083
000000,7,72.29465126991272
000000,8,20.141855478286743
000000,9,33.18930244445801
000000,10,47.80837345123291
000000,11,28.487064361572266
000000,12,72.7897424697876
000000,13,0.7052154541015625
000000,14,98.38642764091492
000000,15,31.785276651382446
000000,16,3.6219818592071533
000000,17,3.665198564529419
000000,18,11.90007758140564
000000,19,87.2529947757721
000000,20,30.2066969871521
000000,21,17.78336811065674
000000,22,8.96260929107666
000000,23,68.6336030960083
000000,24,36.989579916000366
000000,25,68.92004680633545
000000,26,23.01623010635376
000000,27,16.031495094299316
000000,28,32.261003255844116
000000,29,18.969608545303345
000000,30,37.59103322029114
0000000,1,125.97968602180481
0000000,2,184.40185356140137
0000000,3,539.5129780769348
0000000,4,41.11196756362915
0000000,5,202.69557881355286
0000000,6,144.01289081573486
0000000,7,504.6153812408447
0000000,8,211.30120086669922
0000000,9,364.2075500488281
0000000,10,55.47766590118408
0000000,11,1081.9381890296936
0000000,12,430.20991039276123
0000000,13,155.37098598480225
0000000,14,25.382707834243774
0000000,15,0.27655744552612305
0000000,16,969.6553618907928
0000000,17,271.9422450065613
0000000,18,1227.4946641921997
0000000,19,562.0476903915405
0000000,20,334.88197350502014
0000000,21,701.8200423717499
0000000,22,100.78961873054504
0000000,23,1012.1455731391907
0000000,24,416.6409525871277
0000000,25,196.55901384353638
0000000,26,285.9096953868866
0000000,27,265.08336567878723
0000000,28,109.3241457939148
0000000,29,97.30557942390442
0000000,30,380.1237576007843
